user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
472996281,1245360586906644480,2020-04-01T14:41:16Z,FSagasti,"Comparto mi entrevista de anoche (31/03/2020) en Cara a Cara con Enrique Chavez.
#PartidoMorado #AFP 
https://t.co/pMWkZCEn7X",Twitter Web App,125,,,,FALSE,FALSE,7,3,PartidoMorado|AFP,,youtu.be/w6XJ4vBHPG0,https://t.co/pMWkZCEn7X,https://youtu.be/w6XJ4vBHPG0,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
472996281,1244994834835922944,2020-03-31T14:27:54Z,FSagasti,"Medidas extraordinarias, pero bien hechas. https://t.co/3shQvvDKiV",Twitter Web App,42,,,,TRUE,FALSE,18,6,,,twitter.com/partidomorado/…,https://t.co/3shQvvDKiV,https://twitter.com/partidomorado/status/1244986876999733251,,,,,,,,,,,es,1244986876999733251,"Medidas extraordinarias, pero bien hechas. https://t.co/dJpTNsl6Je",2020-03-31T13:56:16Z,Twitter for Android,719,183,2800369406,partidomorado,Partido Morado,53233,163,4335,Peru,#SeguimosEnLaCancha,FALSE,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
472996281,1244044133351776265,2020-03-28T23:30:09Z,FSagasti,"De aprobarse, esta iniciativa impedirá que congresistas con procesos de levantamiento de su inmunidad parlamentaria o que tengan cuestionamientos éticos, integren comisiones u órganos que ejerzan control parlamentario o estén relacionados a la ética pública.",Twitter Web App,258,1244044131653111808,472996281,FSagasti,FALSE,FALSE,8,5,,,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
472996281,1244044131653111808,2020-03-28T23:30:08Z,FSagasti,"El pasado jueves, la Bancada Morada presentó el PL 4934/2020-CR, para modificar el Reglamento del Congreso con el objetivo de promover la plena integridad personal en el ejercicio de funciones parlamentarias específicas en salvaguardia de la ética pública. https://t.co/6Fl925eIQ3",Twitter Web App,256,,,,TRUE,FALSE,22,7,,,twitter.com/partidomorado/…,https://t.co/6Fl925eIQ3,https://twitter.com/partidomorado/status/1244036637111263234,,,,,,,,,,,es,1244036637111263234,"La @BancadaMorada ha presentado el PL 4934, para impedir que congresistas con procesos de levantamiento de inmunidad o que tengan cuestionamientos éticos, integren comisiones que ejerzan control parlamentario o estén relacionadas a la ética pública. https://t.co/m0kHOpNfQa",2020-03-28T23:00:22Z,Twitter for Android,1473,342,2800369406,partidomorado,Partido Morado,53233,163,4335,Peru,#SeguimosEnLaCancha,FALSE,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
472996281,1243990388228096000,2020-03-28T19:56:35Z,FSagasti,"Les comparto una entrevista que me hizo el programa Cara a Cara el 24 de septiembre #PartidoMorado #Politicadecente
https://t.co/JGv8B5JDog",Twitter Web App,139,,,,FALSE,FALSE,6,3,PartidoMorado|Politicadecente,,youtu.be/NOob5KDlHXs,https://t.co/JGv8B5JDog,https://youtu.be/NOob5KDlHXs,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
472996281,1243683339690803202,2020-03-27T23:36:29Z,FSagasti,Los morados afirmamos la laicidad como principio regulador de las relaciones entre el Estado y las iglesias. Reconocemos la contribución de las iglesias en este tiempo de crisis. Y rechazamos el uso político de la religión. https://t.co/xs09rujfg4,Twitter Web App,140,,,,FALSE,TRUE,0,145,,,,,,,,,,,,,,2800369406,partidomorado,es,,,,,,,,,,,,,,,,1243674300235776002,Los morados afirmamos la laicidad como principio regulador de las relaciones entre el Estado y las iglesias. Reconocemos la contribución de las iglesias en este tiempo de crisis. Y rechazamos el uso político de la religión. https://t.co/xs09rujfg4,2020-03-27T23:00:34Z,Twitter for Android,713,2800369406,partidomorado,Partido Morado,53233,163,4335,Peru,#SeguimosEnLaCancha,FALSE,,,,,,,|,|,|||||||
472996281,1242470014915149825,2020-03-24T15:15:10Z,FSagasti,"Comparto la entrevista que me hizo El Comercio

Francisco Sagasti sobre emergencia: “El Ejecutivo está andando en la dirección correcta"" | Entrevista https://t.co/zKk7GgcSUa vía @elcomercio_peru",Twitter Web Client,194,,,,FALSE,FALSE,8,4,,,elcomercio.pe/politica/franc…,https://t.co/zKk7GgcSUa,https://elcomercio.pe/politica/francisco-sagasti-sobre-emergencia-sanitaria-el-ejecutivo-esta-andando-en-la-direccion-correcta-entrevista-coronavirus-covid-19-noticia/,,,,,,,,,233033221,elcomercio_peru,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
472996281,1242228881165291520,2020-03-23T23:16:59Z,FSagasti,"10 propuestas económicas para enfrentar el Conoravirus

Señor Presidente, el tiempo es ahora nuestro mayor enemigo. Estamos a tiempo de enfrentar la pandemia con políticas públicas que guarden misma proporcionalidad a los riesgos económicos a los que nos enfrentamos. Actuemos ya. https://t.co/OxJ7nu94fD",Twitter Web App,140,,,,FALSE,TRUE,0,271,,,,,,,,,,,,,,2800369406,partidomorado,es,,,,,,,,,,,,,,,,1242227813484318721,"10 propuestas económicas para enfrentar el Conoravirus

Señor Presidente, el tiempo es ahora nuestro mayor enemigo. Estamos a tiempo de enfrentar la pandemia con políticas públicas que guarden misma proporcionalidad a los riesgos económicos a los que nos enfrentamos. Actuemos ya. https://t.co/OxJ7nu94fD",2020-03-23T23:12:44Z,Twitter for Android,750,2800369406,partidomorado,Partido Morado,53233,163,4335,Peru,#SeguimosEnLaCancha,FALSE,,,,,,,|,|,|||||||
472996281,1241849021263679489,2020-03-22T22:07:33Z,FSagasti,"Sólo se requeriría que la administración provea a los congresistas de un lector de firma digital, y que habilite la plataforma para registrar quórum y votar a distancia. 

https://t.co/0x679x8vpR",Twitter Web App,195,1241849019757887488,472996281,FSagasti,FALSE,FALSE,7,6,,,elcomercio.pe/politica/congr…,https://t.co/0x679x8vpR,https://elcomercio.pe/politica/congreso/proyecto-de-ley-propone-implementar-sesiones-virtuales-del-pleno-y-demas-organos-del-congreso-noticia/,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
472996281,1241849019757887488,2020-03-22T22:07:33Z,FSagasti,"Consideramos que en circunstancias excepcionales es posible que las diversas instancias del Congreso de la República sesionen virtualmente. Todos los congresistas tenemos DNI digital, lo que nos permitiría firmar digitalmente para comprobar el quórum y registrar las votaciones.",Twitter Web App,278,1241849018327629825,472996281,FSagasti,FALSE,FALSE,4,1,,,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
